Filesystem                         Size  Used Avail Use% Mounted on
tmpfs                              5.1G  4.3M  5.1G   1% /run
/dev/mapper/ubuntu--vg-ubuntu--lv  244G   96G  138G  42% /
tmpfs                               25G   96K   25G   1% /dev/shm
tmpfs                              5.0M     0  5.0M   0% /run/lock
/dev/vda2                          2.0G   74M  1.8G   5% /boot
overlay                            244G   96G  138G  42% /var/lib/docker/rootfs/overlayfs/70e7a3bc4c2d3f69d72ed6ad874a9a25f681e05583dd3fe215489f2ffe823cc7
overlay                            244G   96G  138G  42% /var/lib/docker/rootfs/overlayfs/66a85f69a24e1997db9f63cd5cb6bb1319953dbeef9d18ba870b0fe220a93d17
overlay                            244G   96G  138G  42% /var/lib/docker/rootfs/overlayfs/ed2cab102e6f7b52f402f0823aa5caa7b018975d06477d33b2ecafe0aec13186
overlay                            244G   96G  138G  42% /var/lib/docker/rootfs/overlayfs/ad1d21d67924473b2a726936a0d72737e65fb7339fc072a0257159a83e12660a
overlay                            244G   96G  138G  42% /var/lib/docker/rootfs/overlayfs/f7a44065a7a06fcd6e9497ec796337747c32d3e9eaa165a032cff7b712d9465b
overlay                            244G   96G  138G  42% /var/lib/docker/rootfs/overlayfs/e440102f9b4ca2d40985436f578cb4ed87dd7e2449781db966f7feddf73f99c8
overlay                            244G   96G  138G  42% /var/lib/docker/rootfs/overlayfs/beb89a4f687d486bed7f1609aa32d01bc309d5095a6a8aff747bd9b62613dda6
overlay                            244G   96G  138G  42% /var/lib/docker/rootfs/overlayfs/3d62561ffce444abf6c73f62e558c6193591c0502bce6f468ce94d2dc4c4bec2
overlay                            244G   96G  138G  42% /var/lib/docker/rootfs/overlayfs/47970553ca8f28b528c6d5bffec4bf5be4224e2265b9e620620ee249dc6271ce
overlay                            244G   96G  138G  42% /var/lib/docker/rootfs/overlayfs/1848caac00a89e9d69bc7cc3ba03d0b709f452af7d08fda00b600e9316978247
overlay                            244G   96G  138G  42% /var/lib/docker/rootfs/overlayfs/e2580d4802d4dc1058d51491f94c3fc9e4f9776a0880db11342fd68a2b934da0
overlay                            244G   96G  138G  42% /var/lib/docker/rootfs/overlayfs/7eeaf45775d90895a26049327d7dc4e082a61ba3d6c5a1bdb1945d7cafb0618d
overlay                            244G   96G  138G  42% /var/lib/docker/rootfs/overlayfs/ef52b7943327406b36c97a45854f8eac6a80ca615d8bbe9ee8b5711eecfb96a4
overlay                            244G   96G  138G  42% /var/lib/docker/rootfs/overlayfs/845317500a5bfd11a50a8aa7c6eba9fc44b375f2127b8957614c06b8fd59d2ce
overlay                            244G   96G  138G  42% /var/lib/docker/rootfs/overlayfs/15274fe6041ce3a9a78c259422cde0b1a484363329956aefdeef8189299d7bed
overlay                            244G   96G  138G  42% /var/lib/docker/rootfs/overlayfs/c391ad4aad025e36551f5c84542c55ca960e8b9f523c2dfa0100c7008112acf0
overlay                            244G   96G  138G  42% /var/lib/docker/rootfs/overlayfs/85b9b54ac70f0f1490c7337f271094fd2079c491d6c84947dde82a280483c795
overlay                            244G   96G  138G  42% /var/lib/docker/rootfs/overlayfs/375b1280d95079057f4434b81bdbe977fc20a968f91fe0cfc261da5a11861b0c
overlay                            244G   96G  138G  42% /var/lib/docker/rootfs/overlayfs/a47aa17ef11188e2f7742dec8af142388991c0ac639f3710d1d8ccac0a7c5e21
overlay                            244G   96G  138G  42% /var/lib/docker/rootfs/overlayfs/4044a04154307116d20323843f2c1a7f417c724bba54b2c75e33cc3154a3ae76
overlay                            244G   96G  138G  42% /var/lib/docker/rootfs/overlayfs/8d2d392b788c7aecc67169a377c9ee38b1f399af98329d218ce266acafd5c76d
overlay                            244G   96G  138G  42% /var/lib/docker/rootfs/overlayfs/2c007ae9f4206795875cca40b12245d675af1dc4d15e0680ba673ec94d1649ff
overlay                            244G   96G  138G  42% /var/lib/docker/rootfs/overlayfs/a13388b86d8142b28b3cc039ddacd5da02f38a1c2a5a9fcaaeadb1df7129641b
overlay                            244G   96G  138G  42% /var/lib/docker/rootfs/overlayfs/f8e84673b2009d47456aaeab8538e527ff6200ac9be7203c14670e53def76616
overlay                            244G   96G  138G  42% /var/lib/docker/rootfs/overlayfs/965f9e8946eaf436f4efcff6868dabbb32c889c1511fc3eb60744eea79c625b6
overlay                            244G   96G  138G  42% /var/lib/docker/rootfs/overlayfs/9c5adb74e42f094a6ed55c2b47817fbe6de30b293991f70270a6b12bb5291122
overlay                            244G   96G  138G  42% /var/lib/docker/rootfs/overlayfs/e06285aec1d2046c7ecd399b87a3c8e3d7852e0d297fda6397e55489d5b12988
overlay                            244G   96G  138G  42% /var/lib/docker/rootfs/overlayfs/a7e077e1f7c74ae3680c31e7181d1bc821522b71081e29131799d6891a578d78
overlay                            244G   96G  138G  42% /var/lib/docker/rootfs/overlayfs/bc0848b45af38230d5098a8a882502d76ed2822f93f6151b90aae7e631985c9f
overlay                            244G   96G  138G  42% /var/lib/docker/rootfs/overlayfs/8db3038a8cf0e2d81f935fa12ecdb9d2d16d136c6416a72b94655f2f987eafd0
tmpfs                              5.0G   12K  5.0G   1% /run/user/1000
